trial_number,CR,acc_quantized,acc_drop_pp
9,52.02357979328029,0.9934,-87.66
10,59.17881659549973,0.9916,-88.37
13,57.86144502406693,0.9924,-87.44
14,58.261296161588824,0.9917,-90.63
16,56.175834930473435,0.9929,-89.25
30,60.41707782382738,0.9915,-89.62
40,54.392975030402575,0.993,-89.48
