phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2855400596857071,-463789.71875,,0.004709342990753528,,,14s
retrain,2,0.06770376491248607,-738667.625,,0.004709342990753528,,,29s
retrain,3,0.045608516301214694,-904555.9375,,0.004709342990753528,,,44s
retrain,4,0.03643022898932298,-940303.5,,0.004709342990753528,,,58s
retrain,5,0.029497128317256767,-944574.625,,0.004709342990753528,,,1m12s
retrain,6,0.024829946635166803,-947575.25,,0.004709342990753528,,,1m27s
retrain,7,0.021539140226816137,-952112.5,,0.004709342990753528,,,1m41s
retrain,8,0.018597733488306404,-958660.8125,,0.004709342990753528,,,1m55s
retrain,9,0.016184726828709244,-966369.0625,,0.004709342990753528,,,2m10s
retrain,10,0.01445794849259158,-974943.75,,0.004709342990753528,,,2m25s
retrain,11,0.014176120600725213,-981598.5625,,0.004709342990753528,,,2m39s
retrain,12,0.012824098098402221,-991282.3125,,0.004709342990753528,,,2m54s
retrain,13,0.010854228846170008,-1007263.3125,,0.004709342990753528,,,3m08s
retrain,14,0.010166493088907252,-1020289.75,,0.004709342990753528,,,3m23s
retrain,15,0.010688891470246016,-1031940.75,,0.004709342990753528,,,3m38s
retrain,16,0.010735321171209216,-1044260.0625,,0.004709342990753528,,,3m52s
retrain,17,0.009596250662921618,-1064152.875,,0.004709342990753528,,,4m07s
retrain,18,0.009580044631659984,-1085602.875,,0.004709342990753528,,,4m22s
retrain,19,0.009168479878020783,-1110016.125,,0.004709342990753528,,,4m36s
retrain,20,0.00958799043300872,-1135770.25,,0.004709342990753528,0.9900,63.58,4m45s
retrain,21,0.008886077408554653,-1171212.25,,0.004709342990753528,,,5m00s
retrain,22,0.008642502222241213,-1219164.0,,0.004709342990753528,,,5m14s
retrain,23,0.010423307651933283,-1270825.75,,0.004709342990753528,,,5m29s
retrain,24,0.009760110699913154,-1351096.375,,0.004709342990753528,,,5m43s
retrain,25,0.010860558118422826,-1454144.375,,0.004709342990753528,,,5m58s
retrain,26,0.009996903226276239,-1588780.625,,0.004709342990753528,,,6m13s
retrain,27,0.008739544054803748,-1659048.75,,0.004709342990753528,,,6m28s
retrain,28,0.009393358364328742,-1662946.25,,0.004709342990753528,,,6m42s
retrain,29,0.007582834209439655,-1677736.25,,0.004709342990753528,,,6m58s
retrain,30,0.00594139808639884,-1691317.5,,0.004709342990753528,,,7m13s
retrain,31,0.005902686845511198,-1688288.0,,0.004709342990753528,,,7m28s
retrain,32,0.004456304991059005,-1693390.875,,0.004709342990753528,,,7m43s
retrain,33,0.006776348682291185,-1668562.0,,0.004709342990753528,,,7m57s
retrain,34,0.004541561469823743,-1685262.5,,0.004709342990753528,,,8m11s
retrain,35,0.0040558992760100715,-1691733.25,,0.004709342990753528,,,8m26s
retrain,36,0.003243936545603598,-1710808.875,,0.004709342990753528,,,8m40s
retrain,37,0.00476005931616916,-1668712.0,,0.004709342990753528,,,8m55s
retrain,38,0.0021181311723097074,-1738076.875,,0.004709342990753528,,,9m10s
retrain,39,0.004298779293060458,-1686376.375,,0.004709342990753528,,,9m24s
retrain,40,0.003838200444087852,-1666516.0,,0.004709342990753528,0.9918,49.59,9m39s
