trial_number,CR,acc_loss,acc_quantized,acc_drop_pp
1,82.47550443437513,0.1563,0.8232,15.629999999999999
3,75.07182515202256,0.09200000000000008,0.8875,9.200000000000008
6,55.60095557615237,0.0020999999999999908,0.9774,0.20999999999999908
11,43.30699854599437,-0.0034999999999999476,0.983,-0.34999999999999476
12,76.34206233980392,0.10840000000000005,0.8711,10.840000000000005
13,63.34371909368749,0.01319999999999999,0.9663,1.319999999999999
15,95.11601420308627,0.30580000000000007,0.6737,30.580000000000005
17,64.89863397761643,0.04349999999999998,0.936,4.349999999999998
19,59.03093469342499,0.007800000000000029,0.9717,0.7800000000000029
21,80.0729439854112,0.1513,0.8282,15.129999999999999
22,85.09125053691476,0.1786000000000001,0.8009,17.86000000000001
25,72.34678624813154,0.06920000000000004,0.9103,6.9200000000000035
27,75.12346550021165,0.10420000000000007,0.8753,10.420000000000007
30,52.8981457331992,-0.0029000000000000137,0.9824,-0.29000000000000137
31,79.51015531660693,0.1361,0.8434,13.61
32,71.86885688492917,0.05900000000000005,0.9205,5.900000000000006
36,61.87864567821419,0.012800000000000034,0.9667,1.2800000000000034
38,94.97285183905099,0.28170000000000006,0.6978,28.170000000000005
39,73.22427857959478,0.07290000000000008,0.9066,7.290000000000008
41,90.39720692326468,0.22420000000000007,0.7553,22.420000000000005
45,73.39525426065379,0.08000000000000007,0.8995,8.000000000000007
49,52.53212955425639,-0.0031999999999999806,0.9827,-0.31999999999999806
